Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
Perceptron,perceptron_001,True,"{""max_iter"": 200, ""penalty"": null, ""tol"": 0.001}",0.999625,0.0003423265984407215,1.0,0.0,0.9987012987012986,0.0011855466612665836,1.0,0.0,0.9993499458288191,0.0005934155552602056,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.1723913597386286e-06,0.13870539665222167,0.061113999981898814,0.9995,0.9982698961937716,1.0,0.9992972593113141,0.9991341991341991,0.9999975641570582,0.999993997909776,1422,1,0,577
Perceptron,perceptron_002,False,"{""max_iter"": 200, ""penalty"": null, ""tol"": 0.001}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13969554901123046,0.04528790002223104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_003,True,"{""max_iter"": 200, ""penalty"": null, ""tol"": 0.0001}",0.999625,0.0003423265984407215,1.0,0.0,0.9987012987012986,0.0011855466612665836,1.0,0.0,0.9993499458288191,0.0005934155552602056,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.1723913597386286e-06,0.2684466361999512,0.06861090002348647,0.9995,0.9982698961937716,1.0,0.9992972593113141,0.9991341991341991,0.9999975641570582,0.999993997909776,1422,1,0,577
Perceptron,perceptron_004,False,"{""max_iter"": 200, ""penalty"": null, ""tol"": 0.0001}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.07334518432617188,0.01521019998472184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_005,True,"{""max_iter"": 300, ""penalty"": null, ""tol"": 0.001}",0.999625,0.0003423265984407215,1.0,0.0,0.9987012987012986,0.0011855466612665836,1.0,0.0,0.9993499458288191,0.0005934155552602056,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.1723913597386286e-06,0.024835920333862303,0.025483099976554513,0.9995,0.9982698961937716,1.0,0.9992972593113141,0.9991341991341991,0.9999975641570582,0.999993997909776,1422,1,0,577
Perceptron,perceptron_006,False,"{""max_iter"": 300, ""penalty"": null, ""tol"": 0.001}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.022530508041381837,0.022934700013138354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_007,True,"{""max_iter"": 300, ""penalty"": null, ""tol"": 0.0001}",0.999625,0.0003423265984407215,1.0,0.0,0.9987012987012986,0.0011855466612665836,1.0,0.0,0.9993499458288191,0.0005934155552602056,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.1723913597386286e-06,0.02179560661315918,0.024492999946232885,0.9995,0.9982698961937716,1.0,0.9992972593113141,0.9991341991341991,0.9999975641570582,0.999993997909776,1422,1,0,577
Perceptron,perceptron_008,False,"{""max_iter"": 300, ""penalty"": null, ""tol"": 0.0001}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.018478012084960936,0.014521699980832636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_009,True,"{""max_iter"": 500, ""penalty"": null, ""tol"": 0.001}",0.999625,0.0003423265984407215,1.0,0.0,0.9987012987012986,0.0011855466612665836,1.0,0.0,0.9993499458288191,0.0005934155552602056,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.1723913597386286e-06,0.021920013427734374,0.015273099998012185,0.9995,0.9982698961937716,1.0,0.9992972593113141,0.9991341991341991,0.9999975641570582,0.999993997909776,1422,1,0,577
Perceptron,perceptron_010,False,"{""max_iter"": 500, ""penalty"": null, ""tol"": 0.001}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01826472282409668,0.015190200007054955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_011,True,"{""max_iter"": 500, ""penalty"": null, ""tol"": 0.0001}",0.999625,0.0003423265984407215,1.0,0.0,0.9987012987012986,0.0011855466612665836,1.0,0.0,0.9993499458288191,0.0005934155552602056,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.1723913597386286e-06,0.019894790649414063,0.016262999968603253,0.9995,0.9982698961937716,1.0,0.9992972593113141,0.9991341991341991,0.9999975641570582,0.999993997909776,1422,1,0,577
Perceptron,perceptron_012,False,"{""max_iter"": 500, ""penalty"": null, ""tol"": 0.0001}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.021078157424926757,0.014685699949041009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_013,True,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.001}",0.9935,0.00864445270101005,0.9790679598181862,0.02819468865985129,0.9995670995670995,0.0009679947954544465,0.99103690685413,0.012308559785513625,0.9890401071690554,0.01441635385600253,1.0,0.0,1.0,0.0,0.027531957626342772,0.01770660001784563,0.9995,1.0,0.9982668977469671,1.0,0.9991326973113617,1.0,1.0,1423,0,1,576
Perceptron,perceptron_014,False,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.001}",0.999375,0.0013975424859373885,1.0,0.0,0.9978354978354979,0.004839973977272281,1.0,0.0,0.998911860718172,0.0024331534031553684,1.0,0.0,1.0,0.0,0.025116157531738282,0.020933099964167923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_015,True,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.0001}",0.9945,0.009211066713470266,0.982053034445052,0.029737513257742824,1.0,0.0,0.9922671353251318,0.01295053316480882,0.9907605512912786,0.0153897539874574,1.0,0.0,1.0,0.0,0.023626184463500975,0.028353000001516193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_016,False,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.0001}",0.999375,0.0013975424859373885,1.0,0.0,0.9978354978354979,0.004839973977272281,1.0,0.0,0.998911860718172,0.0024331534031553684,1.0,0.0,1.0,0.0,0.02457585334777832,0.02435469999909401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_017,True,"{""alpha"": 0.001, ""max_iter"": 300, ""penalty"": ""l1"", ""tol"": 0.001}",0.9935,0.00864445270101005,0.9790679598181862,0.02819468865985129,0.9995670995670995,0.0009679947954544465,0.99103690685413,0.012308559785513625,0.9890401071690554,0.01441635385600253,1.0,0.0,1.0,0.0,0.02119894027709961,0.02836810000007972,0.9995,1.0,0.9982668977469671,1.0,0.9991326973113617,1.0,1.0,1423,0,1,576
Perceptron,perceptron_018,False,"{""alpha"": 0.001, ""max_iter"": 300, ""penalty"": ""l1"", ""tol"": 0.001}",0.999375,0.0013975424859373885,1.0,0.0,0.9978354978354979,0.004839973977272281,1.0,0.0,0.998911860718172,0.0024331534031553684,1.0,0.0,1.0,0.0,0.027110815048217773,0.023018500010948628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
